id,title,author,rating,tags,volume,image,link
439,Оправдание Острова,Евгений Водолазкин,4.3,"['Современная русская литература', 'Время и судьбы', 'Нравственный выбор', 'Романы-притчи', 'Философская проза']",290,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63461153-evgeniy-vodolazkin-opravdanie-ostrova.jpg,https://www.litres.ru/evgeniy-vodolazkin/opravdanie-ostrova/
440,Тревожные люди,Фредрик Бакман,4.6,"['Современная зарубежная литература', 'Заложники', 'Ограбления', 'Остросюжетная проза', 'Проза жизни', 'Психологическая проза', 'Трагикомедия', 'Шведская литература']",300,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63028197-fredrik-bakman-trevozhnye-ludi.jpg,https://www.litres.ru/fredrik-bakman/trevozhnye-ludi/
441,Вторая жизнь Уве,Фредрик Бакман,4.8,"['Современная зарубежная литература', 'Жизненные ценности', 'Житейские истории', 'Психологическая проза', 'Судьба человека', 'Шведская литература', 'Экранизации']",330,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/20690188-fredrik-bakman-vtoraya-zhizn-uve.jpg,https://www.litres.ru/fredrik-bakman/vtoraya-zhizn-uve/
442,Непобедимое солнце. Книга 1,Виктор Пелевин,4.3,"['Современная русская литература', 'Духовные поиски', 'Постмодернизм', 'Современное искусство', 'Тайна', 'Философская проза']",250,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/57212123-viktor-pelevin-nepobedimoe-solnce-kniga-1.jpg,https://www.litres.ru/viktor-pelevin/nepobedimoe-solnce-kniga-1/
443,Королевство,Ю Несбё,4.4,"['Зарубежные детективы', 'Современная зарубежная литература', 'Современные детективы', 'Жизненный выбор', 'Нуар', 'Психологические детективы', 'Семейные тайны', 'Скандинавский детектив', 'Тайны прошлого']",530,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/62194227-u-nesbe-korolevstvo.jpg,https://www.litres.ru/u-nesbe/korolevstvo/
444,Непобедимое солнце. Книга 2,Виктор Пелевин,4.5,"['Современная русская литература', 'Духовные поиски', 'Постмодернизм', 'Современное искусство', 'Тайна', 'Философская проза']",240,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/57290936-viktor-pelevin-nepobedimoe-solnce-kniga-2.jpg,https://www.litres.ru/viktor-pelevin/nepobedimoe-solnce-kniga-2/
445,Лавр,Евгений Водолазкин,4.4,"['Историческая литература', 'Современная русская литература', 'Духовные поиски', 'Монашество', 'Премия «Большая книга»', 'Премия «Ясная Поляна»', 'Средневековая Русь', 'Судьба человека']",390,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/4884703-evgeniy-vodolazkin-lavr.jpg,https://www.litres.ru/evgeniy-vodolazkin/lavr/
446,Мир и война,Борис Акунин,4.4,"['Историческая литература', 'Исторические детективы', 'Иллюстрированное издание', 'Исторические романы', 'Наполеоновские войны', 'Отечественная война 1812 года', 'Приключенческие детективы', 'Ретродетективы']",250,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/57390006-boris-akunin-mir-i-voyna.jpg,https://www.litres.ru/boris-akunin/mir-i-voyna/
447,Одинокий пишущий человек,Дина Рубина,4.5,"['Биографии и мемуары', 'Современная русская литература', 'Автобиографическая проза', 'Выдающиеся писатели', 'Книги и чтение', 'Личная жизнь знаменитостей', 'Личный опыт', 'Писательское мастерство', 'Секреты мастерства', 'Только на ЛитРес']",430,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/60795616-dina-rubina-odinokiy-pishuschiy-chelovek.jpg,https://www.litres.ru/dina-rubina/odinokiy-pishuschiy-chelovek/
448,Сад,Марина Степнова,4.3,"['Историческая литература', 'Современная русская литература', 'Взаимоотношения в семье', 'Взросление', 'Времена и нравы', 'Редакция Елены Шубиной', 'Россия XIX века', 'Семейная драма']",330,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/58491519-marina-stepnova-sad.jpg,https://www.litres.ru/marina-stepnova/sad/
