id,title,author,rating,tags,volume,image,link
439,Death Run,Don Pendleton,0,"['Зарубежные детективы', 'Исторические приключения', 'Морские приключения', 'Современная зарубежная литература', 'Триллеры']",190,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324670-don-pendleton-death-run-63324670.jpg,https://www.litres.ru/don-pendleton/death-run-63324670/
440,Talk Dirty to Me,Dakota Cassidy,0,"['Зарубежная фантастика', 'Зарубежные любовные романы', 'Историческая литература', 'Короткие любовные романы', 'Эротические романы']",370,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324660-dakota-cassidy-talk-dirty-to-me-63324660.jpg,https://www.litres.ru/dakota-cassidy/talk-dirty-to-me-63324660/
441,I Want It That Way,Ann Aguirre,0,"['Зарубежная классика', 'Современная зарубежная литература', 'Эротические романы']",310,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324645-ann-aguirre-2-i-want-it-that-way-63324645.jpg,https://www.litres.ru/ann-aguirre-2/i-want-it-that-way-63324645/
442,Shadow Hunt,Don Pendleton,0,"['Исторические приключения', 'Книги о войне', 'Морские приключения', 'Триллеры']",190,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324635-don-pendleton-shadow-hunt-63324635.jpg,https://www.litres.ru/don-pendleton/shadow-hunt-63324635/
443,Shaking Earth,James Axler,0,"['Исторические приключения', 'Книги о войне', 'Морские приключения']",300,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324630-james-axler-shaking-earth-63324630.jpg,https://www.litres.ru/james-axler/shaking-earth-63324630/
444,Cold War Reprise,Don Pendleton,0,"['Исторические приключения', 'Книги о войне', 'Морские приключения', 'Современная зарубежная литература', 'Триллеры']",280,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324620-don-pendleton-cold-war-reprise-63324620.jpg,https://www.litres.ru/don-pendleton/cold-war-reprise-63324620/
445,Altered State,Don Pendleton,0,"['Исторические приключения', 'Книги о войне', 'Морские приключения', 'Политические детективы', 'Современная зарубежная литература']",310,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324580-don-pendleton-altered-state-63324580.jpg,https://www.litres.ru/don-pendleton/altered-state-63324580/
446,Deadly Salvage,Don Pendleton,0,"['Книги о войне', 'Контркультура', 'Современная зарубежная литература', 'Триллеры', 'Юмористическая фантастика']",180,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324575-don-pendleton-deadly-salvage-63324575.jpg,https://www.litres.ru/don-pendleton/deadly-salvage-63324575/
447,Chosen As The Sheikh's Wife,Liz Fielding,0,"['Контркультура', 'Современная зарубежная литература', 'Эротические романы', 'Юмористическая фантастика', 'Юмористическое фэнтези']",100,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324570-liz-fielding-chosen-as-the-sheikh-s-wife-63324570.jpg,https://www.litres.ru/liz-fielding/chosen-as-the-sheikh-s-wife-63324570/
448,Drawpoint,Don Pendleton,0,"['Исторические приключения', 'Морские приключения', 'Современная зарубежная литература', 'Триллеры', 'Шпионские детективы']",300,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324560-don-pendleton-drawpoint-63324560.jpg,https://www.litres.ru/don-pendleton/drawpoint-63324560/
449,Atomic Fracture,Don Pendleton,0,"['Исторические приключения', 'Книги о войне', 'Морские приключения', 'Современная зарубежная литература', 'Триллеры']",300,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324545-don-pendleton-atomic-fracture-63324545.jpg,https://www.litres.ru/don-pendleton/atomic-fracture-63324545/
450,Act Of War,Don Pendleton,0,"['Исторические приключения', 'Морские приключения', 'Политические детективы', 'Современная зарубежная литература', 'Триллеры']",350,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324525-don-pendleton-act-of-war-63324525.jpg,https://www.litres.ru/don-pendleton/act-of-war-63324525/
451,Ripple Effect,Don Pendleton,0,"['Исторические приключения', 'Книги о войне', 'Морские приключения', 'Триллеры']",300,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324510-don-pendleton-ripple-effect-63324510.jpg,https://www.litres.ru/don-pendleton/ripple-effect-63324510/
452,Devil's Playground,Don Pendleton,0,"['Зарубежные детективы', 'Исторические приключения', 'Короткие любовные романы', 'Современная зарубежная литература', 'Триллеры']",330,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324500-don-pendleton-devil-s-playground-63324500.jpg,https://www.litres.ru/don-pendleton/devil-s-playground-63324500/
453,The Killing Rule,Don Pendleton,0,"['Исторические приключения', 'Морские приключения', 'Современная зарубежная литература', 'Триллеры']",340,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63324495-don-pendleton-the-killing-rule-63324495.jpg,https://www.litres.ru/don-pendleton/the-killing-rule-63324495/
