id,title,author,rating,tags,volume,image,link
0,Ход королевы,Уолтер Тевис,4.6,"['Зарубежная классика', 'Литература 20 века', 'Американская литература', 'Бестселлеры «New York Times»', 'Жизненные трудности', 'Шахматы']",390,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/51884058-uolter-tevis-hod-korolevy.jpg,https://www.litres.ru/uolter-tevis/hod-korolevy/
1,Атлант расправил плечи,Айн Рэнд,4.2,"['Зарубежная классика', 'Литература 20 века', 'Антиутопия', 'Мировой бестселлер', 'Социальная проза', 'Спасение мира', 'Философская проза', 'Экранизации']",1890,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/4236675-ayn-rend-atlant-raspravil-plechi.jpg,https://www.litres.ru/ayn-rend/atlant-raspravil-plechi/
2,Весь Шерлок Холмс,Артур Конан Дойл,4.4,"['Зарубежные детективы', 'Классические детективы', 'Литература 19 века', 'Литература 20 века', 'Английские детективы', 'Частное расследование', 'Частные детективы', 'Шерлок Холмс']",2460,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/23571677-arthur-konan-doyle-ves-sherlok-holms.jpg,https://www.litres.ru/arthur-konan-doyle/ves-sherlok-holms/
3,Две жизни. Часть 1,Конкордия Антарова,4.6,"['Духовная литература', 'Литература 20 века', 'Эзотерика / оккультизм', 'Духовная мудрость', 'Духовные ценности', 'Мелодрама', 'Мистические романы', 'Психологическая проза', 'Философская проза', 'Эзотерические учения']",730,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/22606412-konkordiya-antarova-dve-zhizni-chast-1.jpg,https://www.litres.ru/konkordiya-antarova/dve-zhizni-chast-1/
4,Жареные зеленые помидоры в кафе «Полустанок»,Фэнни Флэгг,4.6,"['Зарубежная классика', 'Литература 20 века', 'Американская литература', 'Женская дружба', 'Женская проза', 'Житейские истории', 'Экранизации']",320,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/130519-fenni-flegg-zharenye-zelenye-pomidory-v-kafe-polustanok.jpg,https://www.litres.ru/fenni-flegg/zharenye-zelenye-pomidory-v-kafe-polustanok/
5,Убить пересмешника,Харпер Ли,4.8,"['Зарубежная классика', 'Литература 20 века', 'Американская классика', 'Пулитцеровская премия', 'Расизм', 'Социальная проза', 'Становление героя', 'Экранизации']",350,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/129770-harper-li-ubit-peresmeshnika.jpg,https://www.litres.ru/harper-li/ubit-peresmeshnika/
6,Источник,Айн Рэнд,4.5,"['Зарубежная классика', 'Литература 20 века', 'Антиутопия', 'Мировой бестселлер', 'Роман идей', 'Свобода личности', 'Экранизации']",1110,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/4243035-ayn-rend-istochnik.jpg,https://www.litres.ru/ayn-rend/istochnik/
7,Сто лет одиночества,Габриэль Гарсиа Маркес,4.3,"['Зарубежная классика', 'Литература 20 века', 'Латинская Америка', 'Магический реализм', 'Нобелевская премия по литературе', 'Семейная сага', 'Современная классика']",480,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/4368065-gabriel-garsia-markes-44998-sto-let-odinochestva.jpg,https://www.litres.ru/gabriel-garsia-markes-44998/sto-let-odinochestva/
8,Над пропастью во ржи,Дж. Д. Сэлинджер,4.1,"['Зарубежная классика', 'Классическая проза', 'Литература 20 века', 'Американская классика', 'Взросление', 'Мировой бестселлер']",240,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/127781-dzherom-devid-selindzher-48197-nad-propastu-vo-rzhi.jpg,https://www.litres.ru/dzherom-devid-selindzher-48197/nad-propastu-vo-rzhi/
9,Бхагавад-гита. Перевод Б. Гребенщикова,,4.7,"['Древневосточная литература', 'Зарубежная религиозная литература', 'Индийские религии', 'Мифы / легенды / эпос', 'Религиозные тексты', 'Индийская мифология', 'Индийская философия', 'Индуизм', 'Поэмы', 'Священные тексты']",90,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/54328857-eposy-legendy-i-skazaniya-bhagavad-gita-perevod-b-grebenschikova.jpg,https://www.litres.ru/eposy-legendy-i-skazaniya/bhagavad-gita-perevod-b-grebenschikova/
10,1984. Скотный двор (сборник),Джордж Оруэлл,4.7,"['Литература 20 века', 'Социальная фантастика', 'Антиутопия', 'Литература Великобритании', 'Политическая сатира', 'Сборник рассказов', 'Социальная проза', 'Тоталитаризм', 'Экранизации']",410,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/19258232--.jpg,https://www.litres.ru/dzhordzh-oruell/1984-skotnyy-dvor/
11,Две жизни. Часть 4,Конкордия Антарова,4.8,"['Литература 20 века', 'Эзотерика / оккультизм', 'Духовная мудрость', 'Духовные ценности', 'Мистические романы', 'Теософия', 'Философская проза', 'Эзотерические учения']",720,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/39156961-konkordiya-antarova-dve-zhizni-chast-4.jpg,https://www.litres.ru/konkordiya-antarova/dve-zhizni-chast-4/
12,Две жизни. Часть 2,Конкордия Антарова,4.7,"['Духовная литература', 'Литература 20 века', 'Эзотерика / оккультизм', 'Духовная мудрость', 'Духовные ценности', 'Мелодрама', 'Мистические романы', 'Психологическая проза', 'Философская проза', 'Эзотерические учения']",720,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/33387287-konkordiya-antarova-dve-zhizni-chast-2.jpg,https://www.litres.ru/konkordiya-antarova/dve-zhizni-chast-2/
13,Замок Броуди,Арчибальд Кронин,4.7,"['Зарубежная классика', 'Литература 20 века', 'Английская классика', 'Нравственные ценности', 'Портрет эпохи', 'Психологическая проза']",770,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/134533-archibald-kronin-zamok-broudi.jpg,https://www.litres.ru/archibald-kronin/zamok-broudi/
14,Искусство войны,Сунь-цзы,4.4,"['Афоризмы и цитаты', 'Древневосточная литература', 'Зарубежная старинная литература', 'Саморазвитие / личностный рост', 'Военное искусство', 'Китайская философия', 'Стратегии']",110,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/144250-sun-czy-iskusstvo-voyny.jpg,https://www.litres.ru/sun-czy/iskusstvo-voyny/
15,Две жизни. Часть 3,Конкордия Антарова,4.8,"['Духовная литература', 'Литература 20 века', 'Эзотерика / оккультизм', 'Духовная мудрость', 'Духовные ценности', 'Мелодрама', 'Мистические романы', 'Психологическая проза', 'Философская проза', 'Эзотерические учения']",640,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/36635632-konkordiya-antarova-dve-zhizni-chast-3.jpg,https://www.litres.ru/konkordiya-antarova/dve-zhizni-chast-3/
