id,title,author,rating,tags,volume,image,link
0,Работа горя,Вера Полозкова,4.7,"['Стихи и поэзия', 'Авторский сборник', 'Женская лирика', 'Поэтическая библиотека', 'Современная русская поэзия']",70,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63097502-vera-polozkova-rabota-gorya.jpg,https://www.litres.ru/vera-polozkova/rabota-gorya/
1,Снежный барс,Диана Арбенина,4.4,"['Истории из жизни', 'Публицистика', 'Современная русская литература', 'Стихи и поэзия', 'Житейские истории', 'Сборник рассказов', 'Тексты песен', 'Эссе']",250,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/62782797-diana-arbenina-snezhnyy-bars.jpg,https://www.litres.ru/diana-arbenina/snezhnyy-bars/
2,Шуточные стихи и непечатные афоризмы,Фаина Раневская,4.5,"['Афоризмы и цитаты', 'Стихи и поэзия', 'Знаменитые актеры', 'Крылатые фразы и выражения', 'Шутки', 'Юмор']",70,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/12547623-faina-ranevskaya-shutochnye-stihi-i-nepechatnye-aforizmy.jpg,https://www.litres.ru/faina-ranevskaya/shutochnye-stihi-i-nepechatnye-aforizmy/
3,Москва,Дмитрий Пригов,3.0,"['Современная русская литература', 'Стихи и поэзия', 'Авторский сборник', 'Философская поэзия', 'Философская проза', 'Эпатаж']",960,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/24058588-dmitriy-prigov-moskva.jpg,https://www.litres.ru/dmitriy-prigov/moskva/
4,Так говорил Богомолов,Константин Богомолов,2.8,"['Публицистика', 'Пьесы и драматургия', 'Стихи и поэзия', 'Авторский сборник', 'Лирическая поэзия', 'Точка зрения']",180,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/48498684-konstantin-bogomolov-tak-govoril-bogomolov.jpg,https://www.litres.ru/konstantin-bogomolov/tak-govoril-bogomolov/
5,Серебряный век (сборник),Анна Ахматова,4.6,"['Литература 20 века', 'Стихи и поэзия', 'Поэтическая библиотека', 'Сборник рассказов', 'Сборники стихотворений', 'Серебряный век', 'Советская поэзия']",110,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/25728717-anna-ahmatova-serebryanyy-vek.jpg,https://www.litres.ru/anna-ahmatova/serebryanyy-vek/
6,Всё сначала!,Светлана Сурганова,4.8,"['Биографии и мемуары', 'Музыка', 'Публицистика', 'Русская поэзия', 'Стихи и поэзия', 'Автобиографии', 'Биографии певцов и музыкантов', 'Воспоминания', 'Знаменитые музыканты', 'Личная жизнь знаменитостей', 'Рок-музыка', 'Рок-музыканты', 'Русский рок', 'Стихи для песен', 'Тексты песен']",300,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/50405072-svetlana-surganova-vse-snachala.jpg,https://www.litres.ru/svetlana-surganova/vse-snachala/
7,Божественная комедия,Данте Алигьери,4.1,"['Европейская старинная литература', 'Зарубежная поэзия', 'Зарубежная старинная литература', 'Метафизика', 'Вечные истины', 'Итальянская литература', 'Рай и ад', 'Религиозно-философская проблематика', 'Средневековье']",630,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/22136176-dante-aligeri-bozhestvennaya-komediya-22136176.jpg,https://www.litres.ru/dante-aligeri/bozhestvennaya-komediya-22136176/
8,О любви,Чарльз Буковски,4.7,"['Зарубежная поэзия', 'Контркультура', 'Стихи и поэзия', 'Авторский стиль', 'Лирика', 'Сборники стихотворений', 'Стихи о любви']",100,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63101882-charlz-bukovski-o-lubvi.jpg,https://www.litres.ru/charlz-bukovski/o-lubvi/
9,Собрание сочинений в одном томе,Владимир Высоцкий,4.2,"['Пьесы и драматургия', 'Современная русская литература', 'Стихи и поэзия', '10 класс', 'Сборник рассказов']",700,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/2545905-vladimir-vysockiy-2-sobranie-sochineniy-v-odnom-tome.jpg,https://www.litres.ru/vladimir-vysockiy-2/sobranie-sochineniy-v-odnom-tome/
10,Стих и проза в культуре Серебряного века,Ю. Б. Орлицкий,5.0,"['Культурология', 'Литературоведение', 'Монографии', 'Прочая образовательная литература', 'Стихи и поэзия', 'Серебряный век']",1230,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/42587413-uriy-orlickiy-stih-i-proza-v-kulture-serebryanogo-veka.jpg,https://www.litres.ru/uriy-orlickiy/stih-i-proza-v-kulture-serebryanogo-veka/
11,Десятый дневник,Игорь Губерман,3.7,"['Биографии и мемуары', 'Современная русская литература', 'Стихи и поэзия', 'Воспоминания', 'Ироничные стихи', 'Позитивный настрой', 'Современная поэзия']",150,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/39158564-igor-guberman-desyatyy-dnevnik.jpg,https://www.litres.ru/igor-guberman/desyatyy-dnevnik/
12,Записки счастливого человека,Вера Павлова,4.0,"['Стихи и поэзия', 'Лирическая поэзия', 'Малая проза', 'Сборники стихотворений', 'Современная русская поэзия']",120,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63503763-vera-pavlova-zapiski-schastlivogo-cheloveka.jpg,https://www.litres.ru/vera-pavlova/zapiski-schastlivogo-cheloveka/
13,Ничья. 20:20,Дмитрий Быков,4.5,"['Русская поэзия', 'Стихи и поэзия', 'Лирическая поэзия', 'Сборники стихотворений', 'Современная русская поэзия']",80,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63029990-dmitriy-bykov-nichya-20-20.jpg,https://www.litres.ru/dmitriy-bykov/nichya-20-20/
14,Она днём спит,Евгения Риц,4.8,"['Русская поэзия', 'Стихи и поэзия', 'Лирика', 'Современная русская поэзия', 'Философская поэзия']",38,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/54968640-evgeniya-ric-ona-dnem-spit.jpg,https://www.litres.ru/evgeniya-ric/ona-dnem-spit/
15,Essential Bukowski: Poetry,Чарльз Буковски,0,['Стихи и поэзия'],90,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/39759097-charlz-bukovski-essential-bukowski-poetry.jpg,https://www.litres.ru/charlz-bukovski/essential-bukowski-poetry/
16,Вселенная неформат,Юрий Смирнов,5.0,"['Стихи и поэзия', 'Поэтическая библиотека', 'Современная русская поэзия']",150,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/57297468-uriy-smirnov-18772108-vselennaya-neformat.jpg,https://www.litres.ru/uriy-smirnov-18772108/vselennaya-neformat/
17,Любимые стихотворения в одном томе,Андрей Дементьев,4.0,"['Стихи и поэзия', 'Лирическая поэзия', 'Современная русская поэзия', 'Стихи для песен']",530,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/49212322-andrey-dementev-lubimye-stihotvoreniya-v-odnom-tome.jpg,https://www.litres.ru/andrey-dementev/lubimye-stihotvoreniya-v-odnom-tome/
18,Птицы жизни,Александр Стесин,0,"['Современная русская литература', 'Стихи и поэзия', 'Повести', 'Современная русская поэзия']",120,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63520616-aleksandr-stesin-pticy-zhizni.jpg,https://www.litres.ru/aleksandr-stesin/pticy-zhizni/
19,Бальзамины выжидают,Марианна Гейде,0,"['Современная русская литература', 'Стихи и поэзия', 'Сборники стихотворений', 'Современная русская поэзия']",200,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/27051021-marianna-geyde-balzaminy-vyzhidaut.jpg,https://www.litres.ru/marianna-geyde/balzaminy-vyzhidaut/
20,Монстры,Дмитрий Пригов,4.5,"['Современная русская литература', 'Стихи и поэзия', 'Авторский сборник', 'Философская поэзия', 'Философская проза', 'Эпатаж']",1130,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/24058512-dmitriy-prigov-monstry.jpg,https://www.litres.ru/dmitriy-prigov/monstry/
21,Каждый выбирает по себе,Юрий Левитанский,4.2,"['Русская поэзия', 'Стихи и поэзия', 'Сборники стихотворений', 'Современная русская поэзия']",110,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/41248756-uriy-levitanskiy-kazhdyy-vybiraet-po-sebe.jpg,https://www.litres.ru/uriy-levitanskiy/kazhdyy-vybiraet-po-sebe/
22,Черно-белое кино (сборник),Юрий Левитанский,4.6,"['Русская поэзия', 'Стихи и поэзия', 'Сборник рассказов', 'Сборники стихотворений']",200,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/8484177-uriy-levitanskiy-cherno-beloe-kino-2.jpg,https://www.litres.ru/uriy-levitanskiy/cherno-beloe-kino-2/
23,Места,Дмитрий Пригов,0,"['Русская поэзия', 'Современная русская литература', 'Авторский сборник']",1260,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/40111764-dmitriy-prigov-mesta.jpg,https://www.litres.ru/dmitriy-prigov/mesta/
24,И все-таки жизнь прекрасна,Андрей Дементьев,4.6,"['Биографии и мемуары', 'Русская поэзия', 'Стихи и поэзия', 'Автобиографическая проза', 'Биографии поэтов', 'Иллюстрированное издание', 'Портрет эпохи', 'Советская эпоха']",430,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/35246623-andrey-dementev-i-vse-taki-zhizn-prekrasna.jpg,https://www.litres.ru/andrey-dementev/i-vse-taki-zhizn-prekrasna/
25,Избранное,Анна Ахматова,1.0,"['Стихи и поэзия', 'Гражданская позиция', 'Портрет эпохи', 'Поэзия XX века', 'Русские поэты', 'Советская классика']",70,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/57486561-anna-ahmatova-izbrannoe-57486561.jpg,https://www.litres.ru/anna-ahmatova/izbrannoe-57486561/
26,Былой Петербург: проза будней и поэзия праздника,Альбин Конечный,2.0,"['Современная русская литература', 'Стихи и поэзия', 'История Санкт-Петербурга']",690,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63080496-albin-konechnyy-byloy-peterburg-proza-budney-i-poeziya-prazdnika.jpg,https://www.litres.ru/albin-konechnyy/byloy-peterburg-proza-budney-i-poeziya-prazdnika/
