id,title,author,rating,tags,volume,image,link
0,Дурная кровь,Роберт Гэлбрейт,4.6,"['Зарубежные детективы', 'Современные детективы', 'В поисках истины', 'Детектив-загадка', 'Загадочное исчезновение', 'Смертельная опасность', 'Тайны прошлого', 'Частные детективы']",1100,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63439561-robert-gelbreyt-durnaya-krov.jpg,https://www.litres.ru/robert-gelbreyt/durnaya-krov/
1,Камея из Ватикана,Татьяна Устинова,4.5,"['Современные детективы', 'Драгоценности', 'Женские детективы', 'Загадочная смерть', 'Расследование преступлений', 'Частное расследование']",300,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63007120-tatyana-ustinova-kameya-iz-vatikana.jpg,https://www.litres.ru/tatyana-ustinova/kameya-iz-vatikana/
2,Внутри убийцы,Майк Омер,4.7,"['Зарубежные детективы', 'Современные детективы', 'Триллеры', 'Бестселлеры «New York Times»', 'Маньяки', 'Психологические детективы', 'Психологические триллеры', 'Расследование убийств', 'Серийные убийцы', 'Смертельная опасность']",340,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/47453330-mayk-omer-vnutri-ubiycy.jpg,https://www.litres.ru/mayk-omer/vnutri-ubiycy/
3,Безупречная репутация. Том 2,Александра Маринина,4.3,"['Современные детективы', 'Борьба с преступностью', 'Загадочные события', 'Расследование преступлений', 'Частное расследование', 'Частные детективы']",320,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/57400517-aleksandra-marinina-bezuprechnaya-reputaciya-tom-2.jpg,https://www.litres.ru/aleksandra-marinina/bezuprechnaya-reputaciya-tom-2/
4,Пояс Ориона,Татьяна Устинова,4.4,"['Современные детективы', 'Женские детективы', 'Загадочные события', 'Подозреваемые', 'Убийства', 'Частное расследование']",300,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/56080510-tatyana-ustinova-poyas-oriona.jpg,https://www.litres.ru/tatyana-ustinova/poyas-oriona/
5,Безупречная репутация. Том 1,Александра Маринина,4.5,"['Современные детективы', 'Борьба с преступностью', 'Загадочные события', 'Расследование преступлений', 'Частное расследование', 'Частные детективы']",300,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/57306965-aleksandra-marinina-bezuprechnaya-reputaciya-tom-1.jpg,https://www.litres.ru/aleksandra-marinina/bezuprechnaya-reputaciya-tom-1/
6,Королевство,Ю Несбё,4.4,"['Зарубежные детективы', 'Современная зарубежная литература', 'Современные детективы', 'Жизненный выбор', 'Нуар', 'Психологические детективы', 'Семейные тайны', 'Скандинавский детектив', 'Тайны прошлого']",530,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/62194227-u-nesbe-korolevstvo.jpg,https://www.litres.ru/u-nesbe/korolevstvo/
7,Заживо в темноте,Майк Омер,4.7,"['Зарубежные детективы', 'Триллеры', 'Жестокость', 'Маньяки', 'Психологические триллеры', 'Расследование преступлений']",370,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/59788296-mayk-omer-zazhivo-v-temnote.jpg,https://www.litres.ru/mayk-omer/zazhivo-v-temnote/
8,Зов кукушки,Роберт Гэлбрейт,4.5,"['Зарубежные детективы', 'Современные детективы', 'Загадочное самоубийство', 'Смертельная ловушка', 'Частное расследование']",500,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/6538809-robert-gelbreyt-zov-kukushki.jpg,https://www.litres.ru/robert-gelbreyt/zov-kukushki/
9,Мокрое дело водяного,Дарья Донцова,4.6,"['Иронические детективы', 'Авантюрные детективы', 'Покушения', 'Частное расследование']",220,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63421172-darya-doncova-mokroe-delo-vodyanogo.jpg,https://www.litres.ru/darya-doncova/mokroe-delo-vodyanogo/
10,Мир и война,Борис Акунин,4.4,"['Историческая литература', 'Исторические детективы', 'Иллюстрированное издание', 'Исторические романы', 'Наполеоновские войны', 'Отечественная война 1812 года', 'Приключенческие детективы', 'Ретродетективы']",250,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/57390006-boris-akunin-mir-i-voyna.jpg,https://www.litres.ru/boris-akunin/mir-i-voyna/
11,Будет кровь,Стивен Кинг,4.5,"['Мистика', 'Полицейские детективы', 'Триллеры', 'Ужасы', 'Борьба со злом', 'Загадочные события', 'Мистический триллер', 'Монстры', 'Психологические триллеры', 'Страшные тайны', 'Хоррор']",490,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63062882-stiven-king-budet-krov.jpg,https://www.litres.ru/stiven-king/budet-krov/
12,"Драма в Гриффин-холле, или Отравленный уикенд",Шарлотта Брандиш,4.9,"['Зарубежные детективы', 'Классические детективы', 'Современные детективы', 'Английские детективы', 'Загадочные убийства', 'Расследование преступлений', 'Самиздат', 'Уютные детективы']",440,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63429581-sharlotta-brandish-drama-v-griffin-holle-ili-otravlennyy-uikend.jpg,https://www.litres.ru/sharlotta-brandish/drama-v-griffin-holle-ili-otravlennyy-uikend/
13,Две половинки Тайны,Татьяна Полякова,4.5,"['Современные детективы', 'Загадочная гибель', 'Расследование убийств', 'Сверхспособности', 'Суперагенты']",260,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63019830-tatyana-polyakova-dve-polovinki-tayny.jpg,https://www.litres.ru/tatyana-polyakova/dve-polovinki-tayny/
14,Институт,Стивен Кинг,4.6,"['Зарубежная фантастика', 'Мистика', 'Триллеры', 'Ужасы', 'Паранормальные способности', 'Похищения', 'Психологическая фантастика', 'Сверхспособности', 'Секретные организации', 'Эксперименты над людьми']",580,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/51598283-stiven-king-institut.jpg,https://www.litres.ru/stiven-king/institut/
15,Безмолвный пациент,Алекс Михаэлидес,4.6,"['Зарубежные детективы', 'Современные детективы', 'Триллеры', 'Бестселлеры «New York Times»', 'Загадочные убийства', 'Мировой бестселлер', 'Повороты судьбы', 'Психологические детективы', 'Психологические триллеры', 'Расследование убийств', 'Смертельная опасность', 'Тайны прошлого', 'Частное расследование']",290,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/40502015-aleks-mihaelides-bezmolvnyy-pacient.jpg,https://www.litres.ru/aleks-mihaelides/bezmolvnyy-pacient/
16,Смертельная белизна,Роберт Гэлбрейт,4.5,"['Зарубежные детективы', 'Современные детективы', 'Детектив-загадка', 'Жестокое убийство', 'Тайны прошлого', 'Частные детективы']",760,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/40899476-robert-gelbreyt-smertelnaya-belizna.jpg,https://www.litres.ru/robert-gelbreyt/smertelnaya-belizna/
17,Серьга Артемиды,Татьяна Устинова,4.3,"['Современные детективы', 'Женская остросюжетная проза', 'Женские детективы', 'Загадочная гибель', 'Семейные тайны', 'Смертельная опасность', 'Тайны прошлого']",300,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/48686275-tatyana-ustinova-serga-artemidy.jpg,https://www.litres.ru/tatyana-ustinova/serga-artemidy/
18,Прежде чем иволга пропоет,Елена Михалкова,4.8,"['Современные детективы', 'Загадочные убийства', 'Подозреваемые', 'Расследование преступлений', 'Смертельная опасность']",370,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/57458176-elena-mihalkova-prezhde-chem-ivolga-propoet.jpg,https://www.litres.ru/elena-mihalkova/prezhde-chem-ivolga-propoet/
19,Шелкопряд,Роберт Гэлбрейт,4.4,"['Зарубежные детективы', 'Современные детективы', 'Жестокое убийство', 'Частные детективы']",540,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/8592497-robert-gelbreyt-shelkopryad.jpg,https://www.litres.ru/robert-gelbreyt/shelkopryad/
20,На службе зла,Роберт Гэлбрейт,4.6,"['Зарубежные детективы', 'Современные детективы', 'Детектив-загадка', 'Жестокое убийство', 'Тайны прошлого', 'Частные детективы']",550,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/18023379-robert-gelbreyt-na-sluzhbe-zla.jpg,https://www.litres.ru/robert-gelbreyt/na-sluzhbe-zla/
21,Шок-школа,Татьяна Устинова,3.8,"['Современные детективы', 'Мошенничество', 'Остросюжетные детективы', 'Судебный процесс', 'Юридические детективы']",200,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63124653-tatyana-ustinova-shok-shkola.jpg,https://www.litres.ru/tatyana-ustinova/shok-shkola/
22,Не прощаюсь,Борис Акунин,4.2,"['Исторические детективы', 'Интриги', 'Квест', 'Остросюжетные детективы', 'Расследование преступлений', 'Частные детективы']",460,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/28740671-boris-akunin-ne-proschaus.jpg,https://www.litres.ru/boris-akunin/ne-proschaus/
23,Одиночество-12,Арсен Ревазов,4.3,"['Современные детективы', 'Триллеры', 'Древние артефакты', 'Загадки прошлого', 'Остросюжетные детективы', 'Пророчества и предсказания', 'Роман-путешествие']",630,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63125508-arsen-revazov-odinochestvo-12-63125508.jpg,https://www.litres.ru/arsen-revazov/odinochestvo-12-63125508/
24,Передай привет небесам,Екатерина Островская,4.3,"['Современные детективы', 'Женские детективы', 'Загадочные убийства', 'Несправедливость', 'Остросюжетные детективы', 'Подозреваемые', 'Частное расследование']",230,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63423955-ekaterina-ostrovskaya-pereday-privet-nebesam.jpg,https://www.litres.ru/ekaterina-ostrovskaya/pereday-privet-nebesam/
25,Человек с большим будущим,Абир Мукерджи,4.0,"['Зарубежные детективы', 'Исторические детективы', 'Загадочные убийства', 'Индия', 'Начало XX века', 'Полицейское расследование']",410,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63404220-abir-mukerdzhi-chelovek-s-bolshim-buduschim.jpg,https://www.litres.ru/abir-mukerdzhi/chelovek-s-bolshim-buduschim/
26,Лестница ведьм,Лена Обухова,4.5,"['Мистика', 'Современные детективы', 'Загадки прошлого', 'Мистические детективы', 'Опасные приключения', 'Призраки', 'Таинственный дом']",110,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63464557-lena-obuhova-lestnica-vedm.jpg,https://www.litres.ru/lena-obuhova/lestnica-vedm/
27,Смертельный хоровод,Андреас Грубер,4.8,"['Зарубежные детективы', 'Современные детективы', 'Триллеры', 'Загадочное исчезновение', 'Загадочное самоубийство', 'Остросюжетные детективы', 'Психологические триллеры', 'Расследование убийств', 'Серийные убийцы', 'Тайны прошлого']",450,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/51597973-andreas-gruber-smertelnyy-horovod.jpg,https://www.litres.ru/andreas-gruber/smertelnyy-horovod/
