id,title,author,rating,tags,volume,image,link
0,Не место для людей,Сергей Лукьяненко,4.1,"['Героическое фэнтези', 'Фэнтези про драконов', 'Драконы', 'Квест', 'Магические миры', 'Мифические существа', 'Опасные приключения', 'Спасение мира', 'Становление героя', 'Темные силы', 'Эльфы']",440,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63420391-nik-perumov-ne-mesto-dlya-ludey.jpg,https://www.litres.ru/nik-perumov/ne-mesto-dlya-ludey/
1,Еще один шанс,Ерофей Трофимов,4.7,"['Боевая фантастика', 'Попаданцы', 'Альтернативная история', 'Борьба за выживание', 'Параллельные миры', 'Смертельная опасность', 'Становление героя']",390,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63345227-erofey-trofimov-esche-odin-shans.jpg,https://www.litres.ru/erofey-trofimov/esche-odin-shans/
2,Ведьмак,Анджей Сапковский,4.5,"['Боевое фэнтези', 'Героическое фэнтези', 'Зарубежное фэнтези', 'Волшебные существа', 'Драконы', 'Интриги', 'Квест', 'Магические миры', 'Мифологическое фэнтези', 'Оборотни', 'Сборник рассказов', 'Эльфы', 'Эпическое фэнтези']",2800,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/6375365-andzhey-sapkovskiy-vedmak.jpg,https://www.litres.ru/andzhey-sapkovskiy/vedmak/
3,Не время для драконов,Сергей Лукьяненко,4.5,"['Героическое фэнтези', 'Попаданцы', 'Фэнтези про драконов', 'Драконы', 'Квест', 'Магические миры', 'Спасение мира', 'Становление героя', 'Технофэнтези', 'Эльфы']",450,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/119465-nik-perumov-ne-vremya-dlya-drakonov.jpg,https://www.litres.ru/nik-perumov/ne-vremya-dlya-drakonov/
4,Не зная отдыха и сна,Владимир Сухинин,4.6,"['Боевое фэнтези', 'Героическое фэнтези', 'Попаданцы', 'Интриги', 'Обмен разумами', 'Параллельные миры', 'Спецслужбы', 'Становление героя', 'Технофэнтези']",410,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63537917-vladimir-aleksandrovich-suhinin-ne-znaya-otdyha-i-sna.jpg,https://www.litres.ru/vladimir-aleksandrovich-suhinin/ne-znaya-otdyha-i-sna/
5,Осколки легенд. Том 1,Андрей Васильев,4.6,"['Боевое фэнтези', 'Героическое фэнтези', 'Городское фэнтези', 'LitRPG', 'Авторский сборник', 'Ведьмы', 'Виртуальные миры', 'Магия и колдовство', 'Новый год', 'Приключенческое фэнтези', 'Сборник рассказов', 'Сверхспособности']",330,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63574437-andrey-vasilev-4-oskolki-legend-tom-1.jpg,https://www.litres.ru/andrey-vasilev-4/oskolki-legend-tom-1/
6,"Замуж за колдуна, или Любовь не предлагать",Валерия Чернованова,4.7,"['Любовное фэнтези', 'Любовные авантюры', 'Магические миры', 'Ошибки прошлого', 'Романтическое фэнтези']",330,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/56292907-valeriya-chernovanova-zamuzh-za-kolduna-ili-lubov-ne-predlagat.jpg,https://www.litres.ru/valeriya-chernovanova/zamuzh-za-kolduna-ili-lubov-ne-predlagat/
7,Санара. Новая руна,Вероника Мелан,4.8,"['Любовное фэнтези', 'Превратности судьбы', 'Придворные интриги', 'Романтическое фэнтези', 'Сила любви']",240,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63575266-veronika-melan-sanara-novaya-runa.jpg,https://www.litres.ru/veronika-melan/sanara-novaya-runa/
8,Отдел 15-К. Тени Былого,Андрей Васильев,4.8,"['Городское фэнтези', 'Охота на нечисть', 'Приключенческое фэнтези', 'Становление героя']",350,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/60977582-andrey-vasilev-4-otdel-15-k-teni-bylogo.jpg,https://www.litres.ru/andrey-vasilev-4/otdel-15-k-teni-bylogo/
9,Сотник из будущего. Северная война,Андрей Булычев,4.7,"['Историческая фантастика', 'Исторические приключения', 'Попаданцы', 'Альтернативная история', 'Военные приключения', 'Древняя Русь', 'Путешествия в прошлое', 'Роман-приключение']",260,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63489811-andrey-bulychev-sotnik-iz-buduschego-severnaya-voyna.jpg,https://www.litres.ru/andrey-bulychev/sotnik-iz-buduschego-severnaya-voyna/
10,Стрелок. Путь в Туркестан,Иван Оченков,4.7,"['Боевая фантастика', 'Попаданцы', 'Авантюрные приключения', 'Альтернативная история', 'Военно-историческая фантастика', 'Россия XIX века']",330,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63346156-ivan-ochenkov-strelok-put-v-turkestan.jpg,https://www.litres.ru/ivan-ochenkov/strelok-put-v-turkestan/
11,1972. СОЮЗ нерушимый,Евгений Щепетнов,4.7,"['Детективная фантастика', 'Историческая фантастика', 'Попаданцы', 'Авантюрные приключения', 'Альтернативная история', 'Назад в СССР', 'Перемещение во времени', 'Прогрессорство', 'Советская эпоха', 'Фантастический боевик']",310,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63490083--.jpg,https://www.litres.ru/evgeniy-schepetnov/1972-souz-nerushimyy/
12,Змееловов больше нет,Дарья Кузнецова,4.9,"['Любовное фэнтези', 'Магические миры', 'Повороты судьбы', 'Романтическое фэнтези']",380,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63432647-darya-andreevna-kuznecova-zmeelovov-bolshe-net.jpg,https://www.litres.ru/darya-andreevna-kuznecova/zmeelovov-bolshe-net/
13,Устав от масок,Николай Метельский,4.8,"['Боевое фэнтези', 'Городское фэнтези', 'Попаданцы', 'Альтернативная история', 'Обмен разумами', 'Параллельные миры', 'Сверхспособности', 'Становление героя', 'Технофэнтези']",470,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63430461-nikolay-metelskiy-ustav-ot-masok.jpg,https://www.litres.ru/nikolay-metelskiy/ustav-ot-masok/
14,Драконье серебро,Марина Суржевская,4.9,"['Любовное фэнтези', 'Интриги', 'Магические миры', 'Отбор невест', 'Романтическое фэнтези']",400,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/41276002-marina-surzhevskaya-22364624-drakone-serebro.jpg,https://www.litres.ru/marina-surzhevskaya-22364624/drakone-serebro/
15,Маги без времени,Сергей Лукьяненко,4.7,"['Боевое фэнтези', 'Книги про волшебников', 'Биопанк', 'Магические миры', 'Магические способности', 'Приключенческое фэнтези', 'Темное фэнтези', '«Темный Властелин»']",320,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/48671502-sergey-lukyanenko-magi-bez-vremeni.jpg,https://www.litres.ru/sergey-lukyanenko/magi-bez-vremeni/
16,Белый огонь,Алексей Пехов,4.8,"['Боевое фэнтези', 'Героическое фэнтези', 'Книги про волшебников', 'Волшебные миры', 'Квест', 'Магические артефакты', 'Сверхспособности', 'Становление героя']",410,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/55834226-aleksey-pehov-belyy-ogon.jpg,https://www.litres.ru/aleksey-pehov/belyy-ogon/
