id,title,author,rating,tags,volume,image,link
0,Бетонное казино,Сергей Александрович Смирнов,5.0,"['Личные финансы', 'Недвижимость', 'Ценные бумаги / инвестиции', 'Долевое строительство', 'Инвестиции и инвестирование', 'Рынок недвижимости', 'Самиздат', 'Финансовая грамотность']",240,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63604553-sergey-aleksandrovich-smirnov-betonnoe-kazino.jpg,https://www.litres.ru/sergey-aleksandrovich-smirnov/betonnoe-kazino/
1,Сложные подчиненные. Практика российских руководителей,Максим Батырев,4.0,"['Корпоративная культура', 'Лидерство', 'Менеджмент и кадры', 'Организация рабочего процесса', 'Развитие персонала', 'Теория менеджмента', 'Эффективное руководство']",280,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63500637-maksim-batyrev-slozhnye-podchinennye-praktika-rossiyskih-rukovoditeley.jpg,https://www.litres.ru/maksim-batyrev/slozhnye-podchinennye-praktika-rossiyskih-rukovoditeley/
2,"Карта культурных различий. Как люди думают, руководят и добиваются целей в международной среде",Эрин Мейер,4.4,"['Зарубежная деловая литература', 'Руководства', 'Взаимодействие культур', 'Деловой этикет', 'Культура и этика делового общения', 'Межкультурная коммуникация', 'Практические рекомендации']",290,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/39335807-erin-meyer-17553327-karta-kulturnyh-razlichiy-kak-ludi-dumaut-rukovodyat-i.jpg,https://www.litres.ru/erin-meyer-17553327/karta-kulturnyh-razlichiy-kak-ludi-dumaut-rukovodyat-i/
3,Прайс-менеджмент,Герман Симон,4.1,"['Бизнес-стратегии', 'Зарубежная деловая литература', 'Советы от гуру', 'Управление продажами', 'Финансовый менеджмент', 'Эффективность бизнеса', 'Конкурентные преимущества', 'Продвижение бизнеса', 'Руководителям организаций и предприятий', 'Увеличение прибыли', 'Успешные продажи', 'Ценообразование']",1150,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/43472693-german-simon-prays-menedzhment.jpg,https://www.litres.ru/german-simon/prays-menedzhment/
4,Думай медленно… Решай быстро,Даниэль Канеман,4.2,"['Зарубежная психология', 'Личная эффективность', 'Саморазвитие / личностный рост', 'Принятие решений', 'Развитие личности', 'Тренировка мышления']",710,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/6444517-daniel-kaneman-dumay-medlenno-reshay-bystro.jpg,https://www.litres.ru/daniel-kaneman/dumay-medlenno-reshay-bystro/
5,Как устроена экономика,Ха-Джун Чанг,4.2,"['Зарубежная деловая литература', 'История экономики', 'Книги по экономике', 'Мировая экономика', 'Просто о бизнесе', 'Финансовый рынок', 'Экономическая теория']",460,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/9361857-ha-dzhun-chang-kak-ustroena-ekonomika.jpg,https://www.litres.ru/ha-dzhun-chang/kak-ustroena-ekonomika/
6,7 навыков высокоэффективных людей: Мощные инструменты развития личности,Стивен Кови,4.3,"['Зарубежная психология', 'Личная эффективность', 'Мотивация', 'Практическая психология', 'Саморазвитие / личностный рост', 'Как достичь цели']",530,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/4239285--.jpg,https://www.litres.ru/stiven-kovi/7-navykov-vysokoeffektivnyh-ludey-moschnye-instrumenty-razviti/
7,Хочу – Mогу – Надо. Узнай себя и действуй!,Марина Мелия,4.3,"['Коучинг', 'Личная эффективность', 'Мотивация', 'Саморазвитие / личностный рост', 'Жизненный выбор', 'Как достичь успеха', 'Как обрести счастье', 'Поиск предназначения', 'Поиск себя', 'Психология успеха', 'Самопознание', 'Самореализация']",210,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63363421-marina-meliya-hochu-mogu-nado-uznay-sebya-i-deystvuy.jpg,https://www.litres.ru/marina-meliya/hochu-mogu-nado-uznay-sebya-i-deystvuy/
8,Коучинг и наставничество. Практические методы обучения и развития,Мелвилл Лидхем,4.8,"['Коучинг', 'Мотивация', 'Личностные тренинги', 'Методики обучения', 'Методы мотивации', 'Мотиваторы', 'Практические рекомендации', 'Развитие творческих способностей']",410,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/58106079-melvill-lidhem-kouching-i-nastavnichestvo-prakticheskie-metody-obucheniya.jpg,https://www.litres.ru/melvill-lidhem/kouching-i-nastavnichestvo-prakticheskie-metody-obucheniya/
9,Компания одного человека. Почему не обязательно расширять бизнес,Пол Джарвис,4.4,"['Истории успеха', 'Малый и средний бизнес', 'Просто о бизнесе', 'Бизнес-модели', 'Личный опыт', 'Советы профессионалов']",270,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/42652453-pol-dzharvis-kompaniya-odnogo-cheloveka-pochemu-ne-obyazatelno-rasshiryat.jpg,https://www.litres.ru/pol-dzharvis/kompaniya-odnogo-cheloveka-pochemu-ne-obyazatelno-rasshiryat/
10,Разумный инвестор. Полное руководство по стоимостному инвестированию,Бенджамин Грэм,4.1,"['Зарубежная деловая литература', 'Ценные бумаги / инвестиции', 'Инвестиционная деятельность', 'Рынок ценных бумаг', 'Управление финансами']",820,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/8647268-bendzhamin-grem-razumnyy-investor-polnoe-rukovodstvo-po-stoimostnomu-inves.jpg,https://www.litres.ru/bendzhamin-grem/razumnyy-investor-polnoe-rukovodstvo-po-stoimostnomu-inves/
11,"Богатый папа, бедный папа",Роберт Кийосаки,4.5,"['Зарубежная деловая литература', 'Личные финансы', 'Просто о бизнесе', 'Как стать богатым', 'Работа над собой', 'Советы профессионалов', 'Финансовое благополучие']",230,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/119256-robert-kiyosaki-bogatyy-papa-bednyy-papa.jpg,https://www.litres.ru/robert-kiyosaki/bogatyy-papa-bednyy-papa/
12,"Признания мастера ценообразования. Как цена влияет на прибыль, выручку, долю рынка, объем продаж и выживание компании",Герман Симон,4.4,"['Бизнес-стратегии', 'Зарубежная деловая литература', 'Советы от гуру', 'Стратегия маркетинга', 'Техника продаж', 'Управление бизнесом', 'Управление продажами', 'Финансовый менеджмент', 'Эффективность бизнеса', 'Конкурентные преимущества', 'Продвижение бизнеса', 'Руководителям организаций и предприятий', 'Увеличение прибыли', 'Успешные продажи', 'Ценообразование']",400,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/19526171-german-simon-priznaniya-mastera-cenoobrazovaniya-kak-cena-vliyaet-na-priby.jpg,https://www.litres.ru/german-simon/priznaniya-mastera-cenoobrazovaniya-kak-cena-vliyaet-na-priby/
13,"Полное руководство по методам, принципам и навыкам персонального коучинга",Джули Старр,3.9,"['Зарубежная деловая литература', 'Консалтинг', 'Коучинг', 'Личная эффективность', 'Психологические тренинги', 'Руководства', 'Бизнес-тренинги', 'Как достичь цели', 'Технологии обучения', 'Технологии успеха']",380,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/18041110-dzhuli-starr-polnoe-rukovodstvo-po-metodam-principam-i-navykam-personalnogo-kouchinga.jpg,https://www.litres.ru/dzhuli-starr/polnoe-rukovodstvo-po-metodam-principam-i-navykam-personalnogo-kouchinga/
