id,title,author,rating,tags,volume,image,link
0,Думай медленно… Решай быстро,Даниэль Канеман,4.2,"['Зарубежная психология', 'Личная эффективность', 'Саморазвитие / личностный рост', 'Принятие решений', 'Развитие личности', 'Тренировка мышления']",710,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/6444517-daniel-kaneman-dumay-medlenno-reshay-bystro.jpg,https://www.litres.ru/daniel-kaneman/dumay-medlenno-reshay-bystro/
1,Lagom. Секрет шведского благополучия,Лола Экерстрём,4.1,"['Зарубежная психология', 'Саморазвитие / личностный рост', 'Hygge', 'Искусство быть счастливым', 'Национальный менталитет', 'Самосовершенствование', 'Страноведение', 'Швеция']",160,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/26913901-lola-ekerstrem-lagom-sekret-shvedskogo-blagopoluchiya.jpg,https://www.litres.ru/lola-ekerstrem/lagom-sekret-shvedskogo-blagopoluchiya/
2,"Сила подсознания, или Как изменить жизнь за 4 недели",Джо Диспенза,4.2,"['Зарубежная психология', 'Зарубежная религиозная и эзотерическая литература', 'Практическая эзотерика', 'Саморазвитие / личностный рост', 'Эзотерика / оккультизм', 'Развитие личности', 'Самопознание', 'Самосовершенствование', 'Скрытые способности', 'Тайны подсознания']",380,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/6301646-dzho-dispenza-sila-podsoznaniya-ili-kak-izmenit-zhizn-za-4-nedeli.jpg,https://www.litres.ru/dzho-dispenza/sila-podsoznaniya-ili-kak-izmenit-zhizn-za-4-nedeli/
3,"Хочу и буду: Принять себя, полюбить жизнь и стать счастливым",Михаил Лабковский,4.4,"['О психологии популярно', 'Практическая психология', 'Саморазвитие / личностный рост', 'Семейная психология', 'Социальная психология', 'Борьба со стрессом', 'Внутренняя гармония', 'Как обрести счастье', 'Неврозы', 'Психологическая проза', 'Советы психолога']",220,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/25280333-mihail-labkovskiy-hochu-i-budu-prinyat-sebya-polubit-zhizn-i-stat-schastlivym.jpg,https://www.litres.ru/mihail-labkovskiy/hochu-i-budu-prinyat-sebya-polubit-zhizn-i-stat-schastlivym/
4,Сам себе психотерапевт. Как изменить свою жизнь с помощью когнитивно-поведенческой терапии,Корин Свит,3.9,"['Клиническая психология', 'О психологии популярно', 'Психологическая консультация', 'Саморазвитие / личностный рост', 'Когнитивная психология', 'Психическое здоровье', 'Работа над собой', 'Самопомощь']",260,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/11130328-korin-svit-sam-sebe-psihoterapevt-kak-izmenit-svou-zhizn-s-pomoschu-kognitivno-povedencheskoy-terapii-11130328.jpg,https://www.litres.ru/korin-svit/sam-sebe-psihoterapevt-kak-izmenit-svou-zhizn-s-pomoschu-kognitivno-povedencheskoy-terapii-11130328/
5,Тонкое искусство пофигизма,Марк Мэнсон,4.2,"['Зарубежная психология', 'Саморазвитие / личностный рост', 'Социальная психология', 'Бестселлеры «New York Times»', 'Борьба со стрессом', 'Поиск предназначения', 'Самореализация']",180,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/25440816-mark-menson-tonkoe-iskusstvo-pofigizma.jpg,https://www.litres.ru/mark-menson/tonkoe-iskusstvo-pofigizma/
6,Хочу – Mогу – Надо. Узнай себя и действуй!,Марина Мелия,4.3,"['Коучинг', 'Личная эффективность', 'Мотивация', 'Саморазвитие / личностный рост', 'Жизненный выбор', 'Как достичь успеха', 'Как обрести счастье', 'Поиск предназначения', 'Поиск себя', 'Психология успеха', 'Самопознание', 'Самореализация']",210,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63363421-marina-meliya-hochu-mogu-nado-uznay-sebya-i-deystvuy.jpg,https://www.litres.ru/marina-meliya/hochu-mogu-nado-uznay-sebya-i-deystvuy/
7,Путь джедая,Максим Дорофеев,4.5,"['Личная эффективность', 'Саморазвитие / личностный рост', 'Как достичь цели', 'Лайфхаки', 'Организация рабочего процесса', 'Прокрастинация', 'Работа над собой', 'Самосовершенствование', 'Тренировка мышления']",350,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/48007494-maksim-dorofeev-put-dzhedaya.jpg,https://www.litres.ru/maksim-dorofeev/put-dzhedaya/
8,7 навыков высокоэффективных людей: Мощные инструменты развития личности,Стивен Кови,4.3,"['Зарубежная психология', 'Личная эффективность', 'Мотивация', 'Практическая психология', 'Саморазвитие / личностный рост', 'Как достичь цели']",530,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/4239285--.jpg,https://www.litres.ru/stiven-kovi/7-navykov-vysokoeffektivnyh-ludey-moschnye-instrumenty-razviti/
9,Просто делай! Делай просто!,Оскар Хартманн,4.7,"['Личная эффективность', 'Мотивация', 'Саморазвитие / личностный рост', 'Как достичь цели', 'Личный опыт', 'Работа над собой', 'Технологии успеха']",220,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/50331636-oskar-hartmann-prosto-delay-delay-prosto.jpg,https://www.litres.ru/oskar-hartmann/prosto-delay-delay-prosto/
10,Нейрофитнес. Рекомендации нейрохирурга для улучшения работы мозга,Рахул Джандиал,4.3,"['Личная эффективность', 'Научно-популярная литература', 'Нейробиология', 'Нейропсихология', 'Саморазвитие / личностный рост', 'Интеллект', 'Мотивация и личность', 'Тренировка мышления', 'Человеческая память', 'Человеческий мозг']",310,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/62787401-rahul-jandial-neyrofitnes-rekomendacii-neyrohirurga-dlya-uluchsheniya-rabo.jpg,https://www.litres.ru/rahul-jandial/neyrofitnes-rekomendacii-neyrohirurga-dlya-uluchsheniya-rabo/
